,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
236,-7.759,-47.842,311.8,1.2,1.1,2021-07-14,01:30,T,83,6.1NRT,293.6,13.9,N
237,-12.534,-47.848,300.5,1.4,1.2,2021-07-14,01:30,T,28,6.1NRT,289.8,7.2,N
238,-12.545,-47.847,301.5,1.4,1.2,2021-07-14,01:30,T,42,6.1NRT,290.6,8.2,N
239,-13.846,-44.262,310.0,1.0,1.0,2021-07-14,01:30,T,8,6.1NRT,285.5,8.7,N
240,-13.857,-44.269,314.4,1.0,1.0,2021-07-14,01:30,T,62,6.1NRT,284.9,12.5,N
241,-13.855,-44.26,358.3,1.0,1.0,2021-07-14,01:30,T,100,6.1NRT,291.1,81.3,N
242,-13.854,-44.251,340.9,1.0,1.0,2021-07-14,01:30,T,100,6.1NRT,286.9,44.4,N
243,-13.864,-44.259,331.0,1.0,1.0,2021-07-14,01:30,T,80,6.1NRT,289.4,28.6,N
244,-13.863,-44.25,330.6,1.0,1.0,2021-07-14,01:30,T,81,6.1NRT,287.7,28.2,N
245,-13.874,-44.261,303.0,1.0,1.0,2021-07-14,01:30,T,8,6.1NRT,284.9,4.9,N
246,-14.33,-47.415,310.6,1.4,1.2,2021-07-14,01:30,T,80,6.1NRT,285.7,19.7,N
247,-14.779,-48.544,302.4,1.7,1.3,2021-07-14,01:30,T,49,6.1NRT,288.4,12.4,N
